id,longitude,latitude
1,-96.8824,32.9098
2,-96.892,32.6468
3,-80.2114,25.8833
4,-75.1699,39.9443
5,-73.8837,40.8679
6,-97.3829,32.8814
7,-122.273,37.8078
8,-87.6592,41.8862
9,-73.9442,40.7876
10,-77.0873,38.9626
